Date,Hour,Offense Type,Beat,Premise,Suffix,# offenses,Address
1/24/15,8,Auto Theft,10H10,Residence or House,-,1,2149 CANAL ST
1/25/15,13,Theft,10H10,Bus Stop,-,1,3949 CANAL ST
1/26/15,5,Auto Theft,10H10,Apartment,-,1,2349 COMMERCE ST
1/26/15,13,Theft,10H10,Restaurant or Cafeteria Parking Lot,N,1,149 PAIGE ST
1/27/15,18,Theft,10H10,"Multi-Plex Home (Duplex,Triplex Etc.)",-,1,5649 SHERMAN -
1/31/15,16,Theft,10H10,"Road, Street, or Sidewalk",-,1,3349 ENGELKE -
1/2/15,22,Auto Theft,10H10,Restaurant or Cafeteria Parking Lot,-,1,2849 NAVIGATION -
1/4/15,16,Burglary,10H10,Residence or House,N,1,349 BRYAN -
1/5/15,1,Burglary,10H10,Residence or House,-,1,6249 INDUSTRIAL WAY
1/6/15,10,Auto Theft,10H10,Auto Repair,-,1,3949 CANAL ST
1/7/15,0,Robbery,10H10,"Road, Street, or Sidewalk",-,1,2149 CANAL ST
1/8/15,10,Auto Theft,10H10,Residence or House,-,1,249 LOCKWOOD DR
1/8/15,16,Auto Theft,10H10,"Road, Street, or Sidewalk",-,1,349 EASTWOOD ST
1/10/15,9,Burglary,10H10,Auto Repair,N,1,149 MILBY ST
1/11/15,20,Robbery,10H10,Restaurant or Cafeteria,-,1,3449 NAVIGATION -
1/12/15,9,Theft,10H10,Maintenance or Building Services,-,1,5849 TEXAS ST
1/12/15,19,Theft,10H10,Other Parking Lot,-,1,2349 COMMERCE ST
1/12/15,22,Robbery,10H10,Apartment Parking Lot,-,1,1949 RUNNELS -
1/13/15,0,Burglary,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,-,1,4649 CANAL ST
1/13/15,9,Theft,10H10,Apartment Parking Lot,-,1,449 HUTCHESON -
1/15/15,9,Burglary,10H10,"Factory, Manufacturing, or Industrial",N,1,149 LATHAM ST
1/15/15,11,Theft,10H10,Convenience Store,-,1,2049 RUNNELS -
1/16/15,17,Auto Theft,10H10,Other Parking Lot,-,1,3849 HARRISBURG -
1/16/15,17,Theft,10H10,Commercial Parking Lot or Garage,-,1,3949 HARRISBURG -
1/19/15,19,Theft,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,-,1,4749 HARRISBURG -
1/20/15,12,Theft,10H10,Bar or Night Club,-,1,3049 CANAL ST
1/21/15,8,Burglary,10H10,Commercial Building,-,1,349 VELASCO -
1/30/15,22,Robbery,10H20,"Road, Street, or Sidewalk",-,1,5049 PARK DR
1/26/15,7,Burglary,10H20,Commercial Building,-,1,5449 BELL ST
1/29/15,0,Theft,10H20,"Road, Street, or Sidewalk",-,1,4449 WALKER ST
1/29/15,2,Theft,10H20,"Hotel, Motel, Inn, Etc.",-,1,4149 GULF FWY
1/24/15,8,Burglary,10H20,Specialty Store (Non-Specific),-,1,949 TELEPHONE -
1/21/15,23,Theft,10H20,Grocery Store or Supermarket,-,1,4049 POLK -
1/23/15,16,Theft,10H20,Residence or House,-,1,5149 BELL ST
1/11/15,7,Theft,10H20,Freeway Service Road,-,1,5349 PEASE -
1/11/15,10,Auto Theft,10H20,Commercial Parking Lot or Garage,-,1,949 TELEPHONE -
1/7/15,15,Burglary,10H20,"Vacant Storage Fac (Barn,Garage,Warehouse)",-,1,1949 CULLEN BLVD
1/5/15,7,Theft,10H20,Driveway,-,1,4349 LEELAND -
1/4/15,12,Burglary,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",-,1,4149 RUSK ST
1/3/15,15,Burglary,10H20,Convenience Store,-,1,5349 POLK -
1/21/15,16,Theft,10H20,Government or Public Building,-,1,4049 POLK -
1/21/15,9,Theft,10H20,Commercial Parking Lot or Garage,-,1,749 TELEPHONE -
1/21/15,3,Theft,10H20,Driveway,-,1,1149 ELLISTON ST
1/19/15,19,Theft,10H20,Commercial Building,-,1,1949 TELLEPSEN -
1/20/15,6,Theft,10H20,"Road, Street, or Sidewalk",-,1,1449 GODWIN -
1/20/15,6,Auto Theft,10H20,"Road, Street, or Sidewalk",-,2,4549 MCKINNEY ST
1/16/15,16,Theft,10H20,Commercial Parking Lot or Garage,-,1,3649 MCKINNEY ST
1/15/15,16,Burglary,10H20,Warehouse,-,1,1949 TELLEPSEN -
1/15/15,18,Auto Theft,10H20,Service or Gas Station,-,1,4949 POLK -
1/16/15,6,Theft,10H20,"Road, Street, or Sidewalk",-,1,4449 PEASE -
1/17/15,14,Theft,10H20,Commercial Parking Lot or Garage,-,1,2149 ERNESTINE ST
1/17/15,14,Burglary,10H20,Residence or House,-,1,5149 JEFFERSON ST
1/18/15,6,Burglary,10H20,Bar or Night Club,-,1,849 DUMBLE ST
1/18/15,11,Theft,10H20,Service or Gas Station,-,1,1549 LAWSON -
1/13/15,19,Aggravated Assault,10H20,Residence or House,-,1,4149 RUSK ST
1/13/15,8,Theft,10H20,"Road, Street, or Sidewalk",-,1,4749 WALKER ST
1/12/15,16,Theft,10H20,Residence or House,-,1,4449 RUSK ST
1/12/15,11,Theft,10H20,"Road, Street, or Sidewalk",-,1,4449 WOODSIDE ST
1/12/15,16,Burglary,10H20,Residence or House,-,1,1949 JEAN -
1/23/15,9,Auto Theft,10H30,Miscellaneous Business (Non-Specific),-,2,2549 GULF FWY
1/24/15,3,Theft,10H30,"Road, Street, or Sidewalk",-,1,1549 SAINT EMANUEL ST
1/24/15,3,Theft,10H30,"Road, Street, or Sidewalk",-,1,2049 LEELAND -
1/24/15,1,Theft,10H30,"Road, Street, or Sidewalk",-,1,2249 LAMAR -
1/24/15,14,Theft,10H30,"Road, Street, or Sidewalk",-,1,2249 POLK -
1/29/15,20,Burglary,10H30,Apartment,-,1,2149 TEXAS ST
1/29/15,22,Theft,10H30,Convenience Store Parking Lot,-,1,2349 JEFFERSON ST
1/28/15,14,Rape,10H30,"Vacant Single Occ Resd(House,Townhs,Dplex)",-,1,1749 ADEN MIST DR
1/27/15,14,Theft,10H30,Service or Gas Station,-,1,2049 PEASE -
1/26/15,22,Theft,10H30,Bar or Night Club Parking Lot,-,1,2049 COMMERCE ST
1/26/15,22,Theft,10H30,"Road, Street, or Sidewalk",-,2,2249 DALLAS ST
1/30/15,22,Theft,10H30,"Road, Street, or Sidewalk",-,1,1849 HUTCHINS -
1/31/15,2,Theft,10H30,"Road, Street, or Sidewalk",-,1,1749 ENNIS ST
1/31/15,19,Theft,10H30,Other Parking Lot,-,1,2249 DALLAS ST
9/28/14,11,Theft,10H30,Auto Repair,-,1,3649 GULF FWY
12/27/14,16,Burglary,10H30,Residence or House,-,1,1749 ADEN MIST DR
12/31/14,1,Theft,10H30,Commercial Parking Lot or Garage,-,1,949 ST EMANUEL -
